912,0,230
912,814,123
912,1533,157
912,1100,113
0,867,163
0,912,183
0,1503,67
1533,912,205
1068,1993,213
1068,397,65
942,1407,161
942,596,253
942,1222,165
1003,831,430
1003,520,619
77,1814,579
1408,2046,133
1408,128,208
1408,512,131
1408,994,162
226,1128,197
788,1062,45
788,450,64
1062,1249,193
1062,788,59
1062,627,449
2007,486,53
2007,508,156
2007,1168,350
1342,486,73
1342,76,119
1342,2023,79
76,1342,108
76,617,166
1531,1635,467
1531,356,118
1531,980,101
1531,133,251
727,1766,10
727,1734,78
727,1764,135
1107,975,216
1107,662,45
1107,1041,76
550,1903,380
550,1462,63
550,1235,108
550,1850,106
333,1146,244
333,1852,145
333,383,175
333,61,137
1210,1442,228
1210,1088,149
1422,1406,86
1422,46,100
2005,1572,235
2005,225,41
2005,1177,231
2005,1891,38
756,46,416
756,640,176
1845,1088,174
2016,1092,15
2016,1598,183
2016,383,214
1478,864,128
1478,443,292
1478,385,140
1478,1965,190
1700,1699,153
1700,1965,119
1700,1503,152
1534,1295,32
1534,1874,81
893,1237,154
893,1053,150
893,985,87
1137,821,457
1137,324,223
1137,1588,147
1873,1575,197
1873,1892,78
1873,1855,182
1575,1902,219
1575,1024,116
1575,1873,188
613,433,290
613,538,177
613,1493,189
1152,1619,249
1152,823,183
1152,525,178
1152,716,81
1619,525,366
1619,1152,211
1619,1927,70
1663,2045,80
1663,1927,217
1663,1412,78
2045,627,78
2045,1663,144
2045,16,179
1738,1825,77
1738,16,253
300,1825,90
1855,324,234
1855,1902,126
1855,1873,111
1855,215,155
1092,2016,12
1092,386,303
1092,2023,323
1628,870,240
1628,938,83
1927,1663,154
1927,1619,78
1927,1723,154
846,731,160
846,869,242
846,882,150
846,196,451
1299,1370,161
1299,731,566
1299,1928,128
1370,1083,170
1370,1101,329
1370,1299,141
1522,509,228
1522,1101,150
1522,229,336
229,14,295
229,334,1586
229,1522,339
2010,1415,75
2010,782,383
1803,294,14
1803,782,63
1803,1415,433
2001,1909,111
2001,1246,1127
481,2063,11
481,1642,175
42,455,132
42,991,154
991,1074,113
991,42,151
991,1072,378
1455,1703,137
1455,876,38
1455,966,156
71,1789,460
1789,1440,63
4,2062,209
4,370,182
4,675,169
232,291,321
232,78,82
232,2019,216
232,1923,105
439,181,367
1378,1010,157
107,1288,295
107,1105,138
107,453,207
107,1714,167
1743,1727,248
1743,218,234
1743,1002,156
809,1567,415
809,218,186
809,1710,114
809,892,143
688,522,61
