912,0,108
912,814,53
912,1533,83
912,1100,88
0,867,90
0,912,108
0,1503,36
1533,912,86
1068,1993,111
1068,397,28
942,1407,70
942,596,100
942,1222,73
1003,831,220
1003,520,399
77,1814,206
1408,2046,68
1408,128,89
1408,512,90
1408,994,86
226,1128,89
788,1062,33
788,450,50
1062,1249,129
1062,788,29
1062,627,169
2007,486,43
2007,508,72
2007,1168,198
1342,486,34
1342,76,56
1342,2023,66
76,1342,63
76,617,100
1531,1635,213
1531,356,52
1531,980,70
1531,133,99
727,1766,16
727,1734,50
727,1764,89
1107,975,82
1107,662,40
1107,1041,49
550,1903,144
550,1462,49
550,1235,78
550,1850,80
333,1146,118
333,1852,103
333,383,73
333,61,76
1210,1442,100
1210,1088,76
1422,1406,35
1422,46,65
2005,1572,110
2005,225,32
2005,1177,101
2005,1891,32
756,46,163
756,640,77
1845,1088,118
2016,1092,15
2016,1598,108
2016,383,93
1478,864,82
1478,443,137
1478,385,74
1478,1965,75
1700,1699,90
1700,1965,74
1700,1503,86
1534,1295,27
1534,1874,36
893,1237,72
893,1053,68
893,985,60
1137,821,197
1137,324,96
1137,1588,93
1873,1575,77
1873,1892,48
1873,1855,81
1575,1902,103
1575,1024,60
1575,1873,79
613,433,156
613,538,98
613,1493,73
1152,1619,119
1152,823,87
1152,525,104
1152,716,60
1619,525,163
1619,1152,118
1619,1927,42
1663,2045,57
1663,1927,92
1663,1412,58
2045,627,58
2045,1663,58
2045,16,85
1738,1825,43
1738,16,121
300,1825,53
1855,324,130
1855,1902,77
1855,1873,76
1855,215,65
1092,2016,25
1092,386,144
1092,2023,131
1628,870,148
1628,938,59
1927,1663,82
1927,1619,46
1927,1723,81
846,731,96
846,869,98
846,882,89
846,196,172
1299,1370,91
1299,731,203
1299,1928,76
1370,1083,74
1370,1101,143
1370,1299,97
1522,509,123
1522,1101,96
1522,229,148
229,14,139
229,334,636
229,1522,148
2010,1415,41
2010,782,166
1803,294,24
1803,782,44
1803,1415,157
2001,1909,55
2001,1246,500
481,2063,21
481,1642,67
42,455,85
42,991,75
991,1074,66
991,42,85
991,1072,146
1455,1703,56
1455,876,27
1455,966,67
71,1789,184
1789,1440,51
4,2062,90
4,370,111
4,675,81
232,291,126
232,78,52
232,2019,108
232,1923,68
439,181,198
1378,1010,70
107,1288,138
107,1105,79
107,453,82
107,1714,82
1743,1727,95
1743,218,87
1743,1002,87
809,1567,203
809,218,82
809,1710,59
809,892,56
688,522,47
688,280,84
688,1879,75
1906,1260,91
1906,1230,89
1906,1694,50
1906,1025,54
220,1375,47
1274,56,25
1274,1691,214
1274,32,204
1274,1432,82
1432,1511,79
1432,980,66
1432,308,202
1432,1274,74
1902,1575,114
1902,996,57
1902,1855,79
521,1847,120
1419,691,162
1419,870,329
218,1433,73
218,479,286
218,1743,93
218,809,82
1864,2048,60
1864,1185,81
1935,492,29
1935,1324,32
1935,17,17
251,492,255
251,1875,86
251,1199,87
251,1039,115
677,242,92
677,322,78
341,1667,98
341,435,64
341,994,97
403,150,163
1039,1755,79
1039,1045,85
1039,251,111
1216,1003,342
653,1125,67
653,1765,59
653,470,183
470,653,197
470,340,76
470,1963,178
1922,1338,188
1922,1270,66
1922,1002,100
1922,1084,74
263,609,66
263,1779,52
273,1485,126
273,1238,72
273,1453,71
273,1402,71
1234,442,133
1234,449,131
1234,839,81
1682,1954,164
1682,629,94
1682,1919,74
1682,1121,72
659,847,70
659,639,83
659,921,33
659,799,118
1646,1689,164
1646,1539,59
1646,1271,86
1909,2026,44
1909,2001,59
535,1643,26
535,1006,51
535,1482,33
812,1160,251
812,1312,75
812,1702,75
812,1161,53
355,593,209
355,591,85
355,225,152
120,1717,138
112,1840,62
172,565,113
342,569,17
342,1713,225
342,989,63
2020,187,16
2020,24,35
827,1780,104
827,1648,46
1297,472,117
1297,739,45
1896,618,98
1555,801,217
1555,2022,68
1472,967,48
1892,1873,57
566,1796,59
999,507,183
526,878,39
526,620,79
526,1880,61
620,526,75
205,898,82
205,704,110
205,1435,77
704,205,109
704,1185,87
704,1910,34
1185,704,89
1185,1864,94
1185,898,43
1695,1999,204
248,1122,56
248,1098,58
248,680,76
1098,248,56
1098,441,37
580,149,74
580,1474,70
946,697,226
946,361,78
1025,1263,90
1025,432,68
1025,1906,53
1885,743,220
1885,309,67
1031,1610,187
1031,1295,101
1031,1164,91
1610,1031,180
1610,1315,110
1764,672,111
1764,727,79
1764,12,153
12,1078,83
12,752,84
12,1764,144
12,463,43
463,418,45
463,12,57
1890,1365,100
1890,1489,82
1489,771,67
1489,241,84
1489,1890,80
1489,65,89
65,1524,115
65,771,127
65,1836,83
65,1489,77
1836,1750,110
1836,1355,138
1836,1613,79
1836,65,76
1613,1836,78
1613,1931,80
1613,1306,138
1931,1613,89
1931,935,112
2039,1077,66
2039,443,92
2039,968,82
2039,1100,83
968,762,65
968,2039,74
1054,1782,67
1054,581,112
1054,1259,87
1782,1054,70
1782,1818,121
1782,940,98
1782,306,70
306,765,68
306,1813,101
306,1782,67
306,637,79
637,306,90
637,1060,82
637,560,88
801,32,75
801,1555,203
801,871,70
871,801,69
871,1511,67
1511,148,209
1511,871,65
1511,1432,65
980,1432,68
980,1531,71
980,1248,202
356,1957,209
356,497,62
356,1531,56
497,1862,71
497,356,60
1862,1589,40
1862,497,65
1862,1138,82
1166,697,150
1166,1834,90
1166,1138,68
1834,1208,137
1834,1166,88
48,736,133
48,559,66
48,1641,68
559,736,66
559,1110,67
559,1236,78
559,48,78
1236,1066,61
1236,559,76
1236,625,91
1236,741,120
625,614,73
625,1992,135
625,1236,77
1961,555,18
1132,502,59
1132,219,101
219,1142,94
219,1132,102
219,1739,73
219,1314,82
1142,1469,73
1142,219,97
1142,348,72
1142,552,92
1469,639,72
1469,1142,73
1469,1411,64
1469,847,92
72,1658,75
72,799,91
72,639,115
445,937,106
445,1901,79
445,1030,86
937,396,73
937,353,50
937,445,113
715,1507,39
715,2052,101
2052,715,100
2064,1279,23
2064,1839,75
1279,2064,15
1279,724,81
1279,817,174
817,531,71
817,1616,83
817,1279,175
128,1587,90
128,1272,81
128,176,63
128,1408,81
176,2046,92
176,672,66
176,128,73
1797,1298,189
1797,365,163
1298,2029,119
